Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Product Page
Corsair LED 32GB,$272.78 USD,Corsair,CMU32GX4M2C3200C16,843591090346,843591090346.0,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/CORSAIR-VENGEANCE-2x16GB-3200MHz-Desktop/dp/B01HKF3RMK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3RMK
Corsair LPX 16GB,,Corsair,CMK16GX4M2A2800C16,843591070805,843591070805.0,DDR4-2800,16 GB,2800,16-18-18-36,2,
Corsair LPX 32GB,$76.16 USD,Corsair,CMK32GX4M2A2400C16,843591085564,843591085564.0,DDR4-2400,32 GB,2400,16-16-16-39,2,https://www.amazon.ca/dp/B01CYILUB8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair RGB 16GB,$137.81 USD,Corsair,CMR16GX4M2C3200C16,843591097208,843591097208.0,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B071RYZRJD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071RYZRJD
Corsair Value Select DDR3-1600 CL11,$76.16 USD,Corsair,CMV16GX3M2A1600C11,843591036078,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/Corsair-1600MHz-Desktop-Memory-CMV16GX3M2A1600C11/dp/B009M0TF3W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TF3W
Corsair Value Select DDR4-2133 CL15 black,$21.75 USD,Corsair,CMV4GX4M1A2133C15,843591052962,,DDR4-2133,4 GB,2133,,1,https://www.amazon.ca/dp/B00SV7IIOE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair ValueSelect DDR3-1600 CL11,$23.2 USD,Corsair,CMV4GX3M1A1600C11,843591034098,843591034098.0,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B009CILPRI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance DDR3-1866 CL10,,Corsair,CMZ32GX3M4X1866C10,843591012942,,DDR3-1866,32 GB,1866,,4,
Corsair Vengeance LED blue DDR4-3000 CL15,$582.97 USD,Corsair,CMU64GX4M4C3000C15B,843591095617,843591095617.0,DDR4-3000,64 GB,3000,,1,https://www.amazon.ca/CORSAIR-Vengeance-4x16GB-3000MHz-Desktop/dp/B01M1GDP37?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M1GDP37
Corsair Vengeance LED blue DDR4-3200 CL16,$145.57 USD,Corsair,CMU16GX4M2C3200C16B,843591095563,843591095563.0,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/CORSAIR-VENGEANCE-3200MHz-Desktop-Memory/dp/B01M0GSOYC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M0GSOYC
Corsair Vengeance LED red DDR4-2666 CL16,$205.03 USD,Corsair,CMU32GX4M4A2666C16R,843591090391,843591090391.0,DDR4-2666,32 GB,2666,,4,https://www.amazon.ca/CORSAIR-VENGEANCE-2666MHz-Desktop-Memory/dp/B01HKF58A4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF58A4
Corsair Vengeance LED red DDR4-3000 CL15,$628.18 USD,Corsair,CMU64GX4M4C3000C15R,843591090759,843591090759.0,DDR4-3000,64 GB,3000,,1,https://www.amazon.ca/CORSAIR-VENGEANCE-4x16GB-3000MHz-Desktop/dp/B01HKF3TXM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3TXM
Corsair Vengeance LED red DDR4-3200 CL16,$144.94 USD,Corsair,CMU16GX4M2C3200C16R,843591090278,843591090278.0,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B01HKF450S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF450S
Corsair Vengeance LED white DDR4-2666 CL16,$215.4 USD,Corsair,CMU32GX4M2A2666C16,843591090308,843591090308.0,DDR4-2666,32 GB,2666,,1,https://www.amazon.ca/CORSAIR-Vengeance-2x16GB-2666MHz-Desktop/dp/B01HKF53D6?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF53D6
Corsair Vengeance LED white DDR4-3000 CL15,$646.03 USD,Corsair,CMU64GX4M4C3000C15,843591090742,843591090742.0,DDR4-3000,64 GB,3000,,1,https://www.amazon.ca/CORSAIR-VENGEANCE-4x16GB-3000MHz-Desktop/dp/B01HKF559I?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF559I
Corsair Vengeance LED white DDR4-3200 CL16,$135.13 USD,Corsair,CMU16GX4M2C3200C16,843591090261,843591090261.0,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B01HKF479C?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF479C
Corsair Vengeance Low DDR3-1600 CL10 Low Profile,$78.16 USD,Corsair,CML16GX3M2A1600C10,843591022408,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B007TG8QRW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance Low DDR3-1600 CL9 Low Profile blue,$67.72 USD,Corsair,CML8GX3M2A1600C9B,843591014397,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/Ven-Ddr3-2x4gb-1600mhz-Blue/dp/B0058J1Q7O?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0058J1Q7O
Corsair Vengeance Low Profile Black DDR3-1600 CL9,,Corsair,CML8GX3M2C1600C9,843591058599,843591058599.0,DDR3-1600,8 GB,1600,,2,
Corsair Vengeance Low Profile DDR3-1600 CL109,$65.75 USD,Corsair,CML16GX3M2A1600C10B,843591036122,843591036122.0,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/Ven-Ddr3-2x8gb-1600mhz-Blue/dp/B009M0TCHQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TCHQ
Corsair Vengeance Low Profile DDR3-1600 CL9,$84.86 USD,Corsair,CML16GX3M2A1600C9,843591036733,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/Corsair-Vengeance-Desktop-Memory-CML16GX3M2A1600C9/dp/B009YOJZ5E?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009YOJZ5E
Corsair Vengeance LPX Black DDR4-2133 CL13,$68.69 USD,Corsair,CMK16GX4M4A2133C13,843591055048,,DDR4-2133,16 GB,2133,,4,https://www.amazon.ca/Corsair-CMK16GX4M4A2133C13-Vengeance-2133MHz-Systems/dp/B00PLER544?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00PLER544
Corsair Vengeance LPX Black DDR4-2133 CL15,$304.24 USD,Corsair,CMK32GX4M4A2133C15,843591051354,,DDR4-2133,32 GB,2133,,4,https://www.amazon.ca/Corsair-Vengeance-2133MHz-PC4-17000-Systems/dp/B00T7XSC2O?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00T7XSC2O
Corsair Vengeance LPX Black DDR4-2666 CL16,$399.11 USD,Corsair,CMK128GX4M8A2666C16,843591083058,843591083058.0,DDR4-2666,128 GB,2666,,1,https://www.amazon.ca/dp/B019HVRT5G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX Black DDR4-3000 CL15,$195.14 USD,Corsair,CMK16GX4M4B3000C15,843591056274,,DDR4-3000,16 GB,3000,,4,https://www.amazon.ca/Corsair-Vengeance-3000MHz-PC4-24000-CMK16GX4M4B3000C15/dp/B00QXT5MNM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00QXT5MNM
Corsair Vengeance LPX blue DDR4-3000 CL15,,Corsair,CMK16GX4M4B3000C15B,843591071512,843591071512.0,DDR4-3000,16 GB,3000,,4,
Corsair Vengeance LPX Blue DDR4-2400 CL14,$220.22 USD,Corsair,CMK32GX4M4A2400C14B,843591058308,,DDR4-2400,32 GB,2400,,4,https://www.amazon.ca/dp/B00T7XSBUM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX DDR4-2400 CL16,$152.32 USD,Corsair,CMK32GX4M4A2400C16,843591072250,,DDR4-2400,32 GB,2400,,4,https://www.amazon.ca/dp/B016BWEQYG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair Vengeance LPX red + AF, DDR4-3600, CL 18 - 16 GB Dual Kit",$223.13 USD,Corsair,CMK16GX4M2B3600C18R,843591084475,843591084475.0,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/Corsair-Vengeance-3600MHz-PC4-28800-CMK16GX4M2B3600C18R/dp/B01AKWRX2K?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AKWRX2K
Corsair Vengeance LPX red DDR4-2133 CL13,$83.41 USD,Corsair,CMK16GX4M4A2133C13R,843591055055,,DDR4-2133,16 GB,2133,,4,https://www.amazon.ca/dp/B00PLER4WC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX red DDR4-2133MHz CL13,$68.9 USD,Corsair,CMK16GX4M2A2133C13R,843591069694,,DDR4-2133,16 GB,2133,,2,https://www.amazon.ca/dp/B0123ZCAKW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX red DDR4-2400MHz CL14,$26.27 USD,Corsair,CMK4GX4M1A2400C14R,843591058162,,DDR4-2400,4 GB,2400,,1,https://www.amazon.ca/Corsair-Vengeance-2400MHz-Memory-Systems/dp/B00UVN2C2A?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UVN2C2A
Corsair Vengeance LPX red DDR4-2666 CL16,$39.89 USD,Corsair,CMK8GX4M1A2666C16R,843591069717,,DDR4-2666,8 GB,2666,,1,https://www.amazon.ca/dp/B0123ZASHO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX red DDR4-3000MHz CL15,,Corsair,CMK8GX4M2B3000C15R,843591069724,,DDR4-3000,8 GB,3000,,2,
Corsair Vengeance LPX black + AF,$108.8 USD,Corsair,CMK16GX4M2B3600C18,843591084451,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/dp/B01AKWSUOU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX black DDR4-2400 CL16,$139.98 USD,Corsair,CMK16GX4M4A2400C16,843591072236,843591072236.0,DDR4-2400,16 GB,2400,,4,https://www.amazon.ca/Corsair-Vengeance-4x4GB-Memory-Systems/dp/B016BWEPBK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016BWEPBK
Corsair Vengeance LPX black DDR4-2400MHz CL14,$39.21 USD,Corsair,CMK4GX4M1A2400C14,843591058155,,DDR4-2400,4 GB,2400,,1,https://www.amazon.ca/Corsair-Vengeance-Memory-PC4-19200-CMK4GX4M1A2400C14/dp/B00UVN2BO4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UVN2BO4
Corsair Vengeance LPX black DDR4-2666MHz CL16,$27.71 USD,Corsair,CMK8GX4M1A2666C16,843591069564,,DDR4-2666,8 GB,2666,,1,https://www.amazon.ca/dp/B0123ZAQJE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX black DDR4-2800 CL14,,Corsair,CMK16GX4M2B2800C14,843591071925,843591071925.0,DDR4-2800,16 GB,2800,,2,
Corsair Vengeance LPX black DDR4-3333 CL16,,Corsair,CMK16GX4M2B3333C16,843591071901,843591071901.0,DDR4-3333,16 GB,3333,,2,
"Corsair Vengeance LPX Series red DDR4-2666, CL15 - 16 GB Kit",,Corsair,CMK16GX4M4A2666C15R,843591055420,,DDR4-2666,16 GB,2666,15-17-17-35,4,
"Corsair Vengeance LPX Series red DDR4-2666, CL16 - 16 GB Quad Kit",$102.05 USD,Corsair,CMK16GX4M4A2666C16R,843591056410,,DDR4-2666,16 GB,2666,16-18-18-35,4,https://www.amazon.ca/dp/B00OTJZO8Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX Series red DDR4-3200,,Corsair,CMK16GX4M2B3200C16R,843591070478,,DDR4-3200,16 GB,3200,16-18-18-36,2,
"Corsair Vengeance LPX Series red DDR4-3466, CL16 - 16 GB Kit",,Corsair,CMK16GX4M2B3466C16R,843591083157,843591083157.0,DDR4-3466,16 GB,3466,16-18-18-36,2,
"Corsair Vengeance LPX Series black DDR4-2400, CL14 - 32 GB Kit",$182.79 USD,Corsair,CMK32GX4M4A2400C14,843591054980,,DDR4-2400,32 GB,2400,14-16-16-31,4,https://www.amazon.ca/Corsair-Vengeance-2400MHz-PC4-19200-CMK32GX4M4A2400C14/dp/B00OTJZNI2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00OTJZNI2
"Corsair Vengeance LPX Series black DDR4-3000, CL15 - 8 GB Kit",$95.14 USD,Corsair,CMK8GX4M2B3000C15,843591069663,,DDR4-3000,8 GB,3000,15-17-17-35,2,https://www.amazon.ca/Corsair-Vengeance-3000MHz-PC4-24000-Memory/dp/B0123ZBPDA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0123ZBPDA
Corsair Vengeance LPX Series black DDR4-3200,$47.14 USD,Corsair,CMK16GX4M2B3200C16,843591070454,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B0143UM4TC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair Vengeance LPX Series black DDR4-3466, CL16 - 16 GB Kit",$210.35 USD,Corsair,CMK16GX4M2B3466C16,843591083072,,DDR4-3466,16 GB,3466,16-18-18-36,2,https://www.amazon.ca/Corsair-Vengeance-3466MHz-Memory-CMK16GX4M2B3466C16/dp/B0196QN48S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0196QN48S
Corsair Vengeance LPX Series white,$47.13 USD,Corsair,CMK16GX4M2B3200C16W,843591088381,843591088381.0,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B01EI5ZRQY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair Vengeance LPX Series white, DDR4-3200, CL 16 - 32 GB Dual-Kit",$139.36 USD,Corsair,CMK32GX4M2B3200C16W,843591088411,843591088411.0,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B01EI5ZBXS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance RGB Pro Series black,$50.04 USD,Corsair,CMW16GX4M2C3200C16,843591075381,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07D1XCKWW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance RGB Pro Series white,,Corsair,CMW32GX4M2C3466C16W,840006602941,,DDR4-3466,32 GB,3466,16-18-18-36,2,
Corsair Vengeance RGB Series black,$104.19 USD,Corsair,CMR16GX4M2C3466C16,843591029803,,DDR4-3466,16 GB,3466,16-18-18-36,2,https://www.amazon.ca/dp/B06ZXY4V59?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance RGB Series white,$151.49 USD,Corsair,CMR16GX4M2C3600C18W,843591064040,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/dp/B075NVJNL3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance red DDR3-1866 CL10,,Corsair,CMZ32GX3M4X1866C10R,843591012959,,DDR3-1866,32 GB,1866,,4,
Crucial Ballistix Elite series,$76.88 USD,Crucial,BLE2K8G4D36BEEAK,649528788672,,DDR4-3600,16 GB,3600,16-18-18,2,https://www.amazon.ca/dp/B07NPKTRS1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Crucial Ballistix Elite Series DDR4-2666, CL16 - 32 GB Kit",,Crucial,BLE4C8G4D26AFEA,649528770585,,DDR4-2666,32 GB,2666,16-17-17,4,
"Crucial Ballistix Elite Series DDR4-2666, CL16 - 8 GB",$67.98 USD,Crucial,BLE8G4D26AFEA,649528770561,,DDR4-2666,8 GB,2666,16-17-17,1,https://www.amazon.ca/Ballistix-Single-PC4-21300-288-Pin-Memory/dp/B00RCGJLUU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00RCGJLUU
"Crucial Ballistix Elite Series DDR4-3000, CL15 - 16 GB Kit",,Crucial,BLE2C8G4D30AEEA,649528778932,,DDR4-3000,16 GB,3000,15-16-16,2,
Crucial Ballistix Sport AT series,$75.63 USD,Crucial,BLS2K8G4D32AESTK,649528789242,,DDR4-3200,16 GB,3200,16-18-18,2,https://www.amazon.ca/dp/B07MNJTHF1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial Ballistix Sport DDR3-1600 CL9,,Ballistix,BLS4G3D1609DS1S00CEU,649528757845,,DDR3-1600,4 GB,1600,,1,
Crucial Ballistix Sport LT DDR4-2400 CL16,$133.59 USD,Ballistix,BLS2C16G4D240FSB,649528773852,,DDR4-2400,32 GB,2400,,1,https://www.amazon.ca/dp/B01B4F3IJY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial Ballistix Sport LT DDR4-2400 red CL16,$271.09 USD,Ballistix,BLS4C16G4D240FSE,649528777300,,DDR4-2400,64 GB,2400,,1,https://www.amazon.ca/dp/B01EII64B8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial Ballistix Sport LT grey DDR4-2666 CL16,,Ballistix,BLS2C8G4D26BFSB,649528781680,,DDR4-2666,16 GB,2666,,2,
Crucial Ballistix Sport LT red DDR4-2666 CL16,,Ballistix,BLS2C8G4D26BFSE,649528781888,,DDR4-2666,16 GB,2666,,2,
Crucial Ballistix Sport LT series grey,$79.58 USD,Crucial,BLS2K8G4D32AESBK,649528789129,,DDR4-3200,16 GB,3200,16-18-18,2,https://www.amazon.ca/dp/B07MNJP6RW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 16 GB Kit",$112.01 USD,Crucial,BLS2C8G4D240FSB,649528771360,,DDR4-2400,16 GB,2400,16-16-16,2,https://www.amazon.ca/dp/B00UFF7Y4A?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 32 GB Kit",$225.58 USD,Crucial,BLS4C8G4D240FSB,649528771384,,DDR4-2400,32 GB,2400,16-16-16,4,https://www.amazon.ca/dp/B00UFF84G2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 8 GB",$66.13 USD,Crucial,BLS8G4D240FSB,649528771308,,DDR4-2400,8 GB,2400,16-16-16,1,https://www.amazon.ca/dp/B00UFBZOVE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 8 GB Kit",$83.41 USD,Crucial,BLS2C4G4D240FSB,649528771353,,DDR4-2400,8 GB,2400,16-16-16,2,https://www.amazon.ca/Ballistix-Sport-4GBx2-PC4-19200-288-Pin/dp/B00UFBZOLO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UFBZOLO
Crucial Ballistix Sport LT series red,$79.58 USD,Crucial,BLS2K8G4D32AESEK,649528789181,,DDR4-3200,16 GB,3200,16-18-18,2,https://www.amazon.ca/dp/B07MNJKPSK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 16 GB Kit",,Crucial,BLS2C8G4D240FSE,649528777263,,DDR4-2400,16 GB,2400,16-16-16,2,
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 8 GB",$70.81 USD,Crucial,BLS8G4D240FSE,649528777232,,DDR4-2400,8 GB,2400,16-16-16,1,https://www.amazon.ca/dp/B01DPSQOO4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 8 GB Kit",$40.19 USD,Crucial,BLS2C4G4D240FSE,649528777256,,DDR4-2400,8 GB,2400,16-16-16,2,https://www.amazon.ca/dp/B01F4Z4OPW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
